,Price,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Color,Airbags
8289,34184,TOYOTA,2008,Jeep,Yes,Hybrid,157000 km,6.0,Automatic,Grey,8
8290,12858,MERCEDES-BENZ,2015,Jeep,Yes,Petrol,159928 km,4.0,Automatic,Black,8
8292,35046,SSANGYONG,2013,Jeep,Yes,Diesel,149792 km,4.0,Automatic,Silver,4
8293,44862,HONDA,2016,Sedan,Yes,Petrol,36808 km,4.0,Automatic,Black,4
8295,5802,MERCEDES-BENZ,2013,Sedan,Yes,Diesel,107800 km,6.0,Automatic,Grey,12
8296,33230,HYUNDAI,2014,Jeep,Yes,Diesel,137469 km,4.0,Automatic,Black,4
8297,3450,MERCEDES-BENZ,1995,Sedan,No,Petrol,20000 km,4.0,Manual,Blue,2
8298,32979,HYUNDAI,2014,Minivan,Yes,Diesel,122614 km,4.0,Automatic,Grey,4
8299,13500,HONDA,2012,Minivan,No,Hybrid,195000 km,4.0,Variator,Black,6
8300,21040,TOYOTA,2015,Hatchback,Yes,Petrol,67986 km,4.0,Automatic,White,4
8301,28423,HYUNDAI,2014,Minivan,Yes,Diesel,190000 km,4.0,Automatic,White,4
8302,79782,FORD,2012,Sedan,Yes,Petrol,142930 km,4.0,Automatic,Grey,4
8305,15053,TOYOTA,2014,Sedan,Yes,Petrol,107000 km,4.0,Automatic,Black,12
8306,3500,MERCEDES-BENZ,2002,Universal,No,Petrol,20000 km,6.0,Automatic,Green,10
8308,15681,CHEVROLET,2015,Sedan,No,Petrol,75000 km,4.0,Tiptronic,White,10
8309,4077,OPEL,1997,Sedan,No,Petrol,180000 km,4.0,Automatic,Grey,2
8310,17876,MERCEDES-BENZ,2005,Microbus,No,Diesel,267000 km,4.0,Manual,Golden,4
8311,14426,CHEVROLET,2014,Sedan,No,Petrol,68000 km,4.0,Manual,Black,6
8313,21639,SUBARU,2013,Jeep,No,Petrol,75000 km,4.0,Automatic,Grey,6
8315,17249,TOYOTA,2012,Hatchback,No,Hybrid,100000 km,4.0,Automatic,White,6
8316,2274,TOYOTA,2014,Sedan,Yes,Hybrid,128739 km,4.0,Automatic,Green,12
8317,23521,NISSAN,2014,Jeep,Yes,Petrol,70900 km,4.0,Manual,White,8
8319,17562,HYUNDAI,2012,Sedan,No,Petrol,13500 km,4.0,Tiptronic,Black,4
8320,56450,MERCEDES-BENZ,2014,Jeep,Yes,Diesel,190000 km,6.0,Tiptronic,Black,4
8321,9832,DAEWOO,2011,Sedan,Yes,Petrol,151842 km,4.0,Automatic,White,4
8322,3763,CHEVROLET,2014,Hatchback,Yes,Hybrid,138491 km,4.0,Automatic,Black,4
8323,18826,HYUNDAI,2011,Sedan,Yes,Petrol,117543 km,4.0,Automatic,Silver,4
8324,1646,HYUNDAI,2015,Sedan,Yes,Hybrid,77830 km,4.0,Automatic,Grey,12
8325,1568,MERCEDES-BENZ,2011,Coupe,Yes,Diesel,226251 km,6.0,Automatic,Black,12
8326,11290,TOYOTA,2012,Hatchback,No,Hybrid,139005 km,4.0,Automatic,Blue,12
8327,29793,MERCEDES-BENZ,2004,Microbus,No,Diesel,371500 km,4.0,Manual,White,2
8328,17346,HYUNDAI,2012,Universal,Yes,Diesel,230000 km,4.0,Automatic,Yellow,4
8329,44724,HYUNDAI,2016,Jeep,Yes,Diesel,137986 km,4.0,Automatic,Silver,4
8330,17923,HYUNDAI,2010,Jeep,Yes,Diesel,173169 km,4.0,Automatic,Grey,4
8331,77775,MERCEDES-BENZ,2017,Coupe,Yes,Petrol,6200 km,6.0,Tiptronic,Blue,12
8333,11604,MERCEDES-BENZ,2000,Sedan,No,Diesel,335000 km,5.0,Tiptronic,Silver,6
8334,19416,HYUNDAI,2012,Sedan,Yes,Petrol,143502 km,4.0,Automatic,White,4
8335,1725,CHEVROLET,2014,Hatchback,Yes,Hybrid,133195 km,4.0,Automatic,Black,12
8336,20071,HYUNDAI,2013,Sedan,Yes,Petrol,112000 km,4.0,Tiptronic,Grey,12
8338,11917,MERCEDES-BENZ,2000,Sedan,Yes,CNG,210000 km,6.0,Tiptronic,White,10
8339,15053,CHEVROLET,2017,Sedan,No,Petrol,8960 km,4.0,Tiptronic,White,10
8340,28852,HYUNDAI,2017,Sedan,No,Petrol,20000 km,4.0,Tiptronic,Black,12
8341,48998,HYUNDAI,2015,Jeep,Yes,Diesel,104667 km,4.0,Automatic,Grey,4
8342,35962,HYUNDAI,2013,Jeep,Yes,Diesel,190000 km,4.0,Automatic,Grey,4
8343,17876,BMW,2014,Jeep,Yes,Petrol,62192 km,8.0,Automatic,Black,12
8344,13269,HYUNDAI,2011,Sedan,Yes,LPG,406000 km,4.0,Automatic,Silver,4
8345,33575,HYUNDAI,2014,Jeep,Yes,Diesel,87720 km,4.0,Automatic,Brown,4
8346,8467,MERCEDES-BENZ,1996,Sedan,Yes,CNG,224643 km,6.0,Manual,Silver,6
8347,31747,HYUNDAI,2014,Jeep,Yes,Diesel,20900 km,4.0,Automatic,Black,4
8348,23521,TOYOTA,2012,Sedan,Yes,Hybrid,155000 km,4.0,Automatic,Black,10
8349,11133,HONDA,2012,Sedan,No,Hybrid,90000 km,4.0,Tiptronic,White,2
8350,24148,HYUNDAI,2015,Sedan,No,Petrol,120000 km,4.0,Automatic,Blue,10
8351,59834,HONDA,2016,Sedan,Yes,Petrol,3785 km,4.0,Automatic,Grey,4
8352,8467,HYUNDAI,2014,Sedan,Yes,LPG,583499 km,4.0,Automatic,Orange,4
8353,10349,BMW,2014,Jeep,Yes,Diesel,583499 km,6.0,Automatic,Black,4
8354,15994,BMW,2012,Jeep,Yes,Petrol,232789 km,6.0,Automatic,Grey,12
8356,36865,HYUNDAI,2014,Jeep,Yes,Diesel,144009 km,4.0,Automatic,Silver,4
8357,15053,CHEVROLET,2018,Sedan,No,Petrol,37400 km,4.0,Automatic,Black,8
8358,15681,CHEVROLET,2009,Sedan,Yes,Diesel,6500 km,14.0,Automatic,White,8
8359,18817,VOLKSWAGEN,2008,Sedan,Yes,Petrol,138000 km,6.0,Tiptronic,Black,12
8360,36231,HYUNDAI,2016,Universal,Yes,Diesel,182541 km,4.0,Automatic,Silver,4
8361,1646,TOYOTA,2008,Jeep,Yes,Hybrid,269162 km,6.0,Automatic,Silver,12
8362,23207,NISSAN,2011,Minivan,No,Petrol,89000 km,6.0,Automatic,Grey,12
8363,31047,BMW,2012,Jeep,Yes,Diesel,70994 km,6.0,Automatic,Black,12
8364,6899,HONDA,2012,Hatchback,No,Petrol,146000 km,4.0,Automatic,White,2
8365,21768,SSANGYONG,2011,Jeep,Yes,Diesel,172392 km,4.0,Automatic,White,4
8366,60213,MERCEDES-BENZ,2014,Jeep,Yes,Petrol,107329 km,6.0,Tiptronic,Grey,12
8367,34419,SSANGYONG,2016,Jeep,Yes,Petrol,18498 km,4.0,Automatic,Blue,4
8369,31047,MERCEDES-BENZ,2014,Sedan,Yes,Diesel,132349 km,6.0,Automatic,Grey,12
8371,23207,HYUNDAI,2016,Sedan,Yes,Diesel,33017 km,4.0,Automatic,White,4
8372,29793,TOYOTA,2019,Jeep,Yes,Petrol,4330 km,4.0,Automatic,White,12
8373,21395,HYUNDAI,2015,Hatchback,Yes,Diesel,170000 km,4.0,Automatic,White,4
8374,60502,HONDA,2018,Hatchback,Yes,Petrol,8000 km,4.0,Automatic,Black,4
8375,6899,MERCEDES-BENZ,1998,Cabriolet,No,Petrol,202000 km,4.0,Automatic,Silver,4
8376,46490,HYUNDAI,2013,Jeep,Yes,Diesel,90220 km,4.0,Automatic,Black,4
8377,5959,KIA,2007,Jeep,Yes,Diesel,71168 km,4.0,Automatic,Black,4
8378,14122,HYUNDAI,2011,Jeep,Yes,Diesel,67630 km,4.0,Automatic,Silver,4
8379,8154,BMW,2012,Jeep,Yes,Diesel,103458 km,6.0,Automatic,White,4
8380,1490,LEXUS,2012,Hatchback,Yes,Hybrid,174106 km,4.0,Automatic,White,4
8381,19130,MERCEDES-BENZ,2006,Sedan,Yes,Diesel,270000 km,6.0,Tiptronic,Sky blue,8
8382,8000,TOYOTA,2012,Hatchback,No,Petrol,193000 km,4.0,Variator,Yellow,2
8383,8467,HYUNDAI,2015,Sedan,Yes,LPG,610412 km,4.0,Automatic,Orange,4
8384,11917,HYUNDAI,2014,Sedan,Yes,LPG,354648 km,4.0,Automatic,Silver,4
8385,24148,TOYOTA,2015,Sedan,Yes,Petrol,47500 km,4.0,Automatic,Black,12
8387,21953,TOYOTA,2012,Jeep,No,Petrol,109500 km,4.0,Tiptronic,White,6
8388,15367,FORD,2017,Sedan,No,Petrol,41000 km,4.0,Automatic,White,6
8389,7213,HYUNDAI,2017,Sedan,Yes,Hybrid,138459 km,4.0,Automatic,Silver,6
8390,21012,TOYOTA,2013,Sedan,No,Hybrid,145600 km,4.0,Automatic,Black,6
8391,15681,HYUNDAI,2016,Sedan,Yes,LPG,295970 km,4.0,Automatic,Silver,4
8392,25089,TOYOTA,2017,Jeep,Yes,Petrol,123862 km,8.0,Automatic,White,12
8393,51373,HYUNDAI,2015,Jeep,Yes,Diesel,63323 km,4.0,Automatic,Black,4
8394,10663,MERCEDES-BENZ,2001,Minivan,No,CNG,63323 km,6.0,Manual,Black,6
8395,16766,HYUNDAI,2011,Coupe,Yes,Petrol,114021 km,4.0,Automatic,White,4
8396,40634,SSANGYONG,2017,Jeep,Yes,Diesel,25758 km,4.0,Automatic,Brown,4
8397,16308,BMW,2004,Sedan,Yes,Diesel,265000 km,5.0,Tiptronic,Black,8
8398,28391,HYUNDAI,2013,Jeep,Yes,Diesel,45881 km,4.0,Automatic,White,4
8399,19500,NISSAN,2010,Jeep,Yes,Petrol,145000 km,6.0,Automatic,Blue,6
8400,5331,HONDA,1996,Jeep,No,Petrol,30000 km,4.0,Automatic,Blue,2
8402,13799,HYUNDAI,2014,Sedan,Yes,LPG,185302 km,4.0,Automatic,White,4
8403,6899,CHRYSLER,2015,Sedan,Yes,Petrol,139712 km,6.0,Automatic,Red,12
8404,23828,HYUNDAI,2010,Sedan,Yes,Petrol,238558 km,4.0,Automatic,Grey,4
8406,62493,HONDA,2018,Coupe,Yes,Petrol,8520 km,4.0,Automatic,Red,4
8408,21326,LEXUS,2012,Hatchback,Yes,Hybrid,95000 km,4.0,Automatic,Carnelian red,10
8409,7840,SUBARU,2003,Sedan,No,Petrol,174000 km,4.0,Automatic,Black,2
8410,11604,TOYOTA,2011,Hatchback,Yes,Hybrid,287100 km,4.0,Tiptronic,Golden,12
8411,13485,MITSUBISHI,2006,Jeep,No,CNG,110500 km,4.0,Automatic,Grey,4
8412,16618,HYUNDAI,2012,Sedan,Yes,Petrol,115471 km,4.0,Automatic,Grey,4
8413,1882,TOYOTA,2009,Sedan,Yes,Hybrid,142426 km,4.0,Automatic,White,12
8415,54954,CHEVROLET,2016,Sedan,Yes,Petrol,63000 km,4.0,Automatic,White,4
8416,11290,TOYOTA,2009,Sedan,No,Hybrid,237872 km,4.0,Automatic,Brown,8
8417,22433,HYUNDAI,2013,Minivan,Yes,Diesel,69315 km,4.0,Automatic,Black,4
8419,54349,HONDA,2017,Sedan,Yes,Petrol,16000 km,4.0,Automatic,Grey,4
8422,1176,BMW,2014,Coupe,Yes,Petrol,90029 km,6.0,Automatic,Grey,12
8423,37291,JEEP,2014,Jeep,Yes,Petrol,84414 km,4.0,Automatic,Black,4
8424,9722,NISSAN,2014,Hatchback,No,Petrol,125000 km,3.0,Automatic,Silver,2
8425,14426,SUZUKI,2006,Jeep,No,Petrol,86000 km,6.0,Automatic,Black,8
8426,4200,MAZDA,1998,Sedan,No,Petrol,160000 km,6.0,Automatic,Blue,6
8427,13172,FORD,2006,Microbus,No,Diesel,1500000 km,5.0,Manual,White,8
8428,9722,LAND ROVER,2016,Jeep,Yes,Diesel,79496 km,6.0,Automatic,Black,12
8429,15681,TOYOTA,2006,Sedan,No,Petrol,184000 km,4.0,Automatic,Black,6
8431,15681,HYUNDAI,2016,Sedan,Yes,LPG,258942 km,4.0,Automatic,Silver,4
8432,8154,OPEL,2000,Sedan,No,Petrol,225000 km,4.0,Automatic,White,4
8433,12858,FORD,2013,Sedan,No,Petrol,83718 km,4.0,Automatic,White,4
8434,15367,TOYOTA,2012,Hatchback,No,Hybrid,132462 km,4.0,Variator,White,7
8435,17876,VOLKSWAGEN,2015,Sedan,Yes,Petrol,71777 km,4.0,Tiptronic,Grey,10
8436,22580,VOLKSWAGEN,2015,Sedan,Yes,Petrol,39000 km,4.0,Tiptronic,Red,6
8438,9261,CHEVROLET,2011,Sedan,Yes,Diesel,52715 km,4.0,Automatic,Grey,4
8439,39829,FORD,2018,Sedan,Yes,Hybrid,39000 km,4.0,Tiptronic,Silver,12
8440,19757,MITSUBISHI,2002,Minivan,No,Petrol,176000 km,6.0,Automatic,Silver,1
8441,11604,HYUNDAI,2017,Sedan,Yes,LPG,319682 km,4.0,Automatic,Orange,4
8442,17249,VOLKSWAGEN,2014,Sedan,Yes,Petrol,197600 km,4.0,Tiptronic,Grey,10
8443,10000,NISSAN,2007,Hatchback,Yes,Petrol,145000 km,5.0,Variator,Silver,2
8445,31248,HYUNDAI,2015,Jeep,Yes,Diesel,108505 km,4.0,Automatic,Grey,4
8446,6586,BMW,2011,Jeep,Yes,Petrol,117194 km,6.0,Automatic,Black,12
8447,10663,MERCEDES-BENZ,2002,Sedan,Yes,Petrol,139000 km,6.0,Tiptronic,Silver,8
8448,7840,SUBARU,2003,Sedan,No,Petrol,209000 km,6.0,Tiptronic,Silver,4
8449,14113,KIA,2012,Sedan,Yes,Petrol,55521 km,4.0,Automatic,White,4
8450,11133,TOYOTA,2007,Sedan,No,Hybrid,107248 km,4.0,Automatic,Silver,6
8451,36426,HYUNDAI,2018,Sedan,Yes,LPG,35643 km,4.0,Automatic,White,4
8452,18817,TOYOTA,2018,Sedan,Yes,Hybrid,35058 km,4.0,Automatic,White,12
8453,11133,AUDI,2013,Hatchback,Yes,Petrol,301707 km,6.0,Automatic,Grey,12
8455,18500,HYUNDAI,2012,Sedan,Yes,LPG,226843 km,4.0,Automatic,Silver,4
8457,10820,MITSUBISHI,2013,Hatchback,No,Petrol,112221 km,4.0,Automatic,Blue,10
8458,18503,FORD,2012,Sedan,No,LPG,137103 km,4.0,Tiptronic,Silver,6
8462,39201,MERCEDES-BENZ,2012,Sedan,Yes,Petrol,74000 km,6.0,Automatic,Black,12
8466,4000,VOLKSWAGEN,1994,Sedan,No,Petrol,182000 km,4.0,Manual,Blue,12
8467,45674,JAGUAR,2015,Sedan,Yes,Diesel,71309 km,4.0,Automatic,White,4
8468,4300,OPEL,2000,Sedan,No,Petrol,71309 km,4.0,Manual,White,2
8469,19601,TOYOTA,2011,Hatchback,No,Petrol,137000 km,4.0,Variator,White,6
8471,17562,FORD,2009,Jeep,No,Hybrid,143000 km,4.0,Automatic,Black,12
8473,14959,CHEVROLET,2012,Jeep,Yes,Diesel,222303 km,4.0,Automatic,Silver,4
8475,13172,FIAT,2014,Coupe,Yes,Petrol,25000 km,4.0,Tiptronic,Green,6
8476,17876,TOYOTA,2010,Sedan,No,Petrol,119000 km,4.0,Automatic,Silver,6
8477,7840,MITSUBISHI,2003,Minivan,No,Petrol,261000 km,4.0,Tiptronic,Black,2
8478,13956,CHEVROLET,2018,Sedan,No,Petrol,261000 km,4.0,Automatic,Black,2
8479,11604,OPEL,2007,Goods wagon,No,Diesel,173000 km,4.0,Manual,Blue,2
8480,4077,ACURA,2012,Sedan,Yes,Petrol,117874 km,4.0,Automatic,Black,12
8481,31361,TOYOTA,2016,Hatchback,Yes,Hybrid,130000 km,4.0,Automatic,White,8
8482,16935,HYUNDAI,2014,Sedan,No,Petrol,105600 km,4.0,Automatic,Beige,8
8483,11604,TOYOTA,2008,Hatchback,No,Hybrid,95500 km,4.0,Automatic,Silver,12
8484,13485,TOYOTA,2009,Sedan,Yes,Hybrid,95500 km,4.0,Tiptronic,White,12
8485,9252,HYUNDAI,2015,Sedan,Yes,LPG,530660 km,4.0,Automatic,Orange,4
8487,6272,CADILLAC,2013,Sedan,Yes,Petrol,196770 km,4.0,Automatic,White,12
8488,19579,TOYOTA,2015,Hatchback,Yes,Petrol,69000 km,4.0,Automatic,White,4
8489,22825,CHEVROLET,2012,Sedan,Yes,Petrol,114929 km,4.0,Automatic,Black,4
8490,27591,HYUNDAI,2011,Jeep,Yes,Diesel,68047 km,4.0,Automatic,Black,4
8491,32302,KIA,2014,Jeep,No,Petrol,77000 km,4.0,Tiptronic,Blue,6
8492,34811,LEXUS,2016,Jeep,Yes,Hybrid,77000 km,6.0,Automatic,Grey,12
8493,35902,HYUNDAI,2014,Minivan,Yes,Diesel,169109 km,4.0,Automatic,Yellow,4
8494,13172,TOYOTA,2007,Hatchback,Yes,Petrol,269638 km,4.0,Automatic,Brown,4
8497,6895,NISSAN,2012,Hatchback,No,Petrol,59847 km,4.0,Automatic,Purple,2
8498,34406,HYUNDAI,2016,Jeep,Yes,Diesel,185011 km,4.0,Automatic,White,4
8499,16480,HYUNDAI,2014,Sedan,Yes,Petrol,140765 km,4.0,Automatic,Silver,4
8500,19384,CHEVROLET,2012,Sedan,Yes,Petrol,162069 km,4.0,Automatic,Silver,4
8501,1568,MERCEDES-BENZ,2016,Sedan,Yes,Diesel,77205 km,6.0,Automatic,Grey,12
8502,29793,BMW,2011,Sedan,Yes,Petrol,185000 km,6.0,Tiptronic,Black,12
8503,25089,SSANGYONG,2016,Jeep,Yes,Petrol,13530 km,4.0,Automatic,White,4
8504,3763,TOYOTA,2014,Jeep,Yes,Petrol,64994 km,4.0,Automatic,Grey,12
8505,32145,TOYOTA,2015,Sedan,No,Petrol,108000 km,8.0,Tiptronic,White,12
8506,10036,TOYOTA,2012,Hatchback,No,Hybrid,123000 km,4.0,Automatic,Black,2
8507,18983,SSANGYONG,2012,Jeep,Yes,Diesel,167000 km,4.0,Automatic,Silver,4
8508,48610,MERCEDES-BENZ,2014,Sedan,Yes,Petrol,142400 km,6.0,Tiptronic,White,12
8509,3293,TOYOTA,2010,Hatchback,Yes,Hybrid,159382 km,4.0,Automatic,White,12
8510,28225,HYUNDAI,2014,Jeep,Yes,Diesel,39138 km,4.0,Automatic,White,4
8511,15483,SSANGYONG,2011,Sedan,Yes,Diesel,149720 km,4.0,Automatic,White,4
8512,10349,HONDA,2014,Hatchback,No,Hybrid,136000 km,4.0,Variator,Silver,6
8514,7997,MERCEDES-BENZ,2011,Sedan,Yes,Diesel,273186 km,6.0,Automatic,White,12
8516,7683,MINI,2006,Coupe,No,Petrol,14900 km,4.0,Tiptronic,Yellow,4
8517,8467,HYUNDAI,2014,Sedan,Yes,LPG,565573 km,4.0,Automatic,Orange,4
8518,21953,MERCEDES-BENZ,2005,Jeep,Yes,Diesel,260000 km,6.0,Tiptronic,Brown,12
8519,6586,BMW,2002,Sedan,Yes,Petrol,123456 km,8.0,Automatic,Silver,12
8520,42334,AUDI,2011,Sedan,Yes,Petrol,79000 km,6.0,Tiptronic,Black,8
8521,49798,HYUNDAI,2015,Jeep,Yes,Diesel,93555 km,4.0,Automatic,White,4
8522,18817,FORD,1998,Microbus,No,Diesel,111111 km,6.0,Manual,Blue,2
8523,51965,HYUNDAI,2016,Jeep,Yes,Diesel,49515 km,4.0,Automatic,White,4
8525,6429,OPEL,2003,Goods wagon,No,Diesel,215522 km,4.0,Manual,Blue,2
8526,5175,MERCEDES-BENZ,2010,Sedan,Yes,Petrol,108517 km,6.0,Automatic,White,12
8527,7840,BMW,1995,Sedan,Yes,Petrol,108517 km,8.0,Automatic,Green,6
8528,13172,TOYOTA,2008,Hatchback,Yes,Hybrid,166800 km,4.0,Variator,Silver,8
8529,11917,HYUNDAI,2012,Coupe,Yes,Petrol,79000 km,4.0,Tiptronic,Silver,10
8530,31047,BMW,2012,Jeep,Yes,Diesel,70994 km,6.0,Automatic,Black,10
8531,24004,HYUNDAI,2011,Minivan,Yes,Diesel,72302 km,4.0,Automatic,Silver,4
8532,1490,LEXUS,2012,Hatchback,Yes,Hybrid,174106 km,4.0,Automatic,White,4
8533,24327,HYUNDAI,2011,Jeep,Yes,Diesel,126799 km,4.0,Automatic,Silver,4
8534,12544,FORD,2014,Hatchback,No,Petrol,156043 km,4.0,Automatic,Black,4
8535,30891,HONDA,2015,Sedan,Yes,Petrol,100658 km,4.0,Automatic,Silver,4
8536,6500,BMW,1997,Sedan,No,Petrol,284000 km,4.0,Manual,Black,2
8537,38574,BMW,2014,Sedan,Yes,Petrol,124000 km,4.0,Tiptronic,Silver,10
8538,50008,JEEP,2012,Jeep,Yes,Petrol,105757 km,4.0,Automatic,Black,4
8539,10036,HONDA,2011,Hatchback,No,Hybrid,140000 km,4.0,Manual,Black,10
8540,18503,VOLKSWAGEN,2012,Sedan,Yes,Petrol,180000 km,4.0,Tiptronic,Silver,8
8542,10349,TOYOTA,2008,Hatchback,No,Hybrid,180000 km,4.0,Automatic,White,8
8543,4704,TOYOTA,1996,Jeep,No,Petrol,180000 km,4.0,Automatic,Blue,4
8545,50341,HYUNDAI,2017,Sedan,Yes,Petrol,68009 km,4.0,Automatic,Black,4
8546,7056,NISSAN,2004,Hatchback,No,Petrol,135000 km,4.0,Automatic,Silver,2
8547,49864,HYUNDAI,2019,Jeep,Yes,Diesel,66500 km,4.0,Automatic,Grey,4
8548,6272,VOLKSWAGEN,2000,Sedan,No,Diesel,314000 km,2.0,Manual,Silver,2
8549,42171,SSANGYONG,2017,Jeep,Yes,Petrol,67856 km,4.0,Automatic,White,4
8550,39559,HYUNDAI,2016,Minivan,Yes,Diesel,94000 km,4.0,Automatic,Grey,4
8551,21012,TOYOTA,2019,Jeep,Yes,Petrol,19834 km,4.0,Automatic,Silver,12
8552,32744,HYUNDAI,2014,Minivan,Yes,Diesel,107483 km,4.0,Automatic,Silver,4
8553,43278,TOYOTA,2016,Jeep,No,Petrol,78000 km,4.0,Automatic,Carnelian red,4
8554,44752,CHEVROLET,2016,Sedan,Yes,Petrol,120428 km,4.0,Automatic,Black,4
8555,29793,MAZDA,2015,Sedan,Yes,Petrol,129600 km,4.0,Tiptronic,Grey,9
8556,5802,MERCEDES-BENZ,2013,Sedan,Yes,Diesel,107800 km,6.0,Automatic,Grey,12
8557,11604,HYUNDAI,2011,Sedan,Yes,Petrol,51211 km,4.0,Automatic,Black,4
8559,6899,BMW,2002,Jeep,Yes,CNG,260000 km,6.0,Automatic,White,6
8560,62722,TOYOTA,2018,Sedan,Yes,Hybrid,14000 km,6.0,Tiptronic,Blue,12
8561,7840,MERCEDES-BENZ,1997,Sedan,No,Petrol,14000 km,4.0,Manual,Blue,4
8562,29166,TOYOTA,2017,Hatchback,No,Hybrid,95350 km,4.0,Automatic,Silver,14
8563,40092,SSANGYONG,2016,Jeep,Yes,Diesel,35163 km,4.0,Automatic,Red,4
8564,1568,LEXUS,2013,Sedan,Yes,Petrol,204874 km,6.0,Automatic,White,12
8565,20005,HYUNDAI,2012,Sedan,Yes,Petrol,155964 km,4.0,Automatic,Grey,4
8566,52687,TOYOTA,2013,Jeep,Yes,Petrol,62102 km,6.0,Tiptronic,Pink,12
8567,6586,VOLKSWAGEN,2002,Sedan,Yes,Petrol,256000 km,6.0,Tiptronic,Grey,12
8570,14831,HONDA,2016,Hatchback,Yes,Petrol,109839 km,4.0,Automatic,Blue,4
8571,23436,HYUNDAI,2016,Sedan,Yes,LPG,88900 km,4.0,Automatic,White,4
8572,20385,TOYOTA,2012,Sedan,No,Petrol,156800 km,4.0,Tiptronic,Green,8
8573,24148,LEXUS,2010,Sedan,Yes,Hybrid,93000 km,4.0,Automatic,Black,12
8574,3450,LEXUS,2010,Jeep,Yes,Petrol,136542 km,6.0,Automatic,Blue,12
8575,1333,NISSAN,2014,Sedan,Yes,Petrol,27656 km,4.0,Automatic,Silver,12
8576,18189,TOYOTA,2012,Sedan,No,Hybrid,112000 km,4.0,Variator,Grey,6
8578,9408,BMW,2004,Sedan,No,Petrol,81000 km,4.0,Tiptronic,Blue,6
8579,22649,SSANGYONG,2012,Jeep,Yes,Diesel,140411 km,4.0,Automatic,Grey,4
8580,12231,TOYOTA,2008,Sedan,No,Hybrid,244800 km,4.0,Automatic,Green,6
8581,14740,HONDA,2011,Hatchback,Yes,Hybrid,246574 km,4.0,Variator,Beige,6
8582,42692,SSANGYONG,2013,Jeep,Yes,Diesel,69415 km,4.0,Automatic,White,4
8583,15053,HYUNDAI,2014,Hatchback,Yes,Petrol,46000 km,4.0,Tiptronic,Black,12
8584,17900,TOYOTA,2011,Sedan,No,Hybrid,46000 km,4.0,Automatic,White,12
8587,9722,MERCEDES-BENZ,2001,Jeep,Yes,Petrol,215947 km,6.0,Tiptronic,Golden,8
8589,5018,NISSAN,2015,Jeep,Yes,Petrol,111402 km,4.0,Automatic,Black,8
8592,9408,BMW,2001,Sedan,Yes,CNG,215000 km,6.0,Tiptronic,Black,6
8593,21012,TOYOTA,2015,Hatchback,No,Petrol,125000 km,4.0,Automatic,White,7
8594,9879,BMW,2014,Sedan,Yes,Diesel,98368 km,6.0,Automatic,White,12
8595,27284,NISSAN,2017,Sedan,No,Petrol,28800 km,4.0,Automatic,White,10
8596,23521,TOYOTA,2014,Sedan,Yes,Petrol,97000 km,4.0,Automatic,Grey,8
8597,1882,TOYOTA,2017,Sedan,Yes,Hybrid,47672 km,4.0,Automatic,White,12
8598,9408,HONDA,2008,Sedan,Yes,Hybrid,116000 km,4.0,Variator,Blue,6
8599,6586,TOYOTA,2002,Sedan,No,Petrol,163000 km,4.0,Automatic,Brown,4
8600,9095,HONDA,2000,Jeep,No,Petrol,2222 km,4.0,Automatic,Silver,8
8604,10036,BMW,2001,Sedan,No,Petrol,195000 km,6.0,Tiptronic,Silver,8
8605,14113,VOLKSWAGEN,2013,Sedan,Yes,Petrol,89600 km,4.0,Tiptronic,Grey,8
8606,5645,FORD,2015,Sedan,Yes,Hybrid,147885 km,4.0,Automatic,Grey,12
8607,5018,SUBARU,2002,Hatchback,No,Petrol,147000 km,4.0,Automatic,Blue,12
8608,45872,HONDA,2016,Hatchback,Yes,Petrol,35934 km,4.0,Automatic,Black,4
8609,10032,VOLKSWAGEN,2007,Goods wagon,No,Diesel,240000 km,4.0,Manual,White,2
8610,1490,LEXUS,2013,Jeep,Yes,Petrol,154115 km,8.0,Automatic,Black,2
8612,13808,HYUNDAI,2011,Sedan,Yes,Petrol,52274 km,4.0,Automatic,White,4
8613,9400,BMW,2000,Sedan,Yes,LPG,52274 km,6.0,Tiptronic,Black,6
8614,7213,OPEL,1998,Hatchback,No,LPG,160000 km,4.0,Manual,Blue,2
8615,21953,HYUNDAI,2011,Jeep,Yes,Diesel,166401 km,4.0,Automatic,Grey,4
8616,15994,BMW,2009,Sedan,Yes,Petrol,184000 km,6.0,Tiptronic,Silver,12
8617,84675,MERCEDES-BENZ,2015,Jeep,Yes,Diesel,110000 km,4.0,Tiptronic,White,12
8618,1803,SUBARU,2013,Sedan,Yes,Petrol,333208 km,4.0,Automatic,Grey,12
8619,23521,NISSAN,2015,Jeep,No,Petrol,46000 km,4.0,Manual,Black,8
8620,83107,LAND ROVER,2016,Jeep,Yes,Diesel,83000 km,6.0,Tiptronic,Brown,12
8621,11290,BMW,2002,Sedan,Yes,Petrol,270000 km,6.0,Tiptronic,Silver,6
8622,9722,TOYOTA,2018,Sedan,Yes,Hybrid,127515 km,4.0,Automatic,Black,12
8623,14740,KIA,2012,Sedan,No,Petrol,148000 km,6.0,Tiptronic,Black,12
8624,10976,NISSAN,2002,Jeep,No,Petrol,94000 km,6.0,Manual,Silver,4
8625,15053,CHEVROLET,2011,Sedan,No,Petrol,108000 km,4.0,Tiptronic,White,4
